workload,middleware,input_type,n,p,mean_ms,std_ms,speedup,efficiency
fir,pthreads,downloaded,536870912,8,7326.3819,1.6341,6.8243,0.853
fir,pthreads,downloaded,536870912,16,4168.331,6.2351,11.9945,0.7497
fir,pthreads,downloaded,536870912,32,3694.144,7.625,13.5342,0.4229
fft,pthreads,generated,1073741824,1,156373.9522,5482.6284,,
fft,pthreads,generated,1073741824,2,125579.8971,384.6321,,
fft,pthreads,generated,1073741824,4,114399.2848,628.6401,,
fft,pthreads,generated,1073741824,8,106593.0135,580.4327,,
fft,pthreads,generated,1073741824,16,103348.1361,588.1867,,
fft,pthreads,generated,1073741824,32,102792.2805,503.2939,,
fir,openmp,generated,1073741824,1,91064.8812,274.7845,,
fir,openmp,generated,1073741824,2,45451.2929,66.6629,,
fir,openmp,generated,1073741824,4,22799.1232,14.9789,,
fir,openmp,generated,1073741824,8,11399.8089,2.1031,,
fir,openmp,generated,1073741824,16,5684.2578,1.1252,,
fir,openmp,generated,1073741824,32,2848.8979,0.9781,,
fir,pthreads,generated,1073741824,1,108271.9337,19.4556,,
fir,pthreads,generated,1073741824,2,54336.3932,13.5591,,
fir,pthreads,generated,1073741824,4,28594.7902,111.3913,,
fir,pthreads,generated,1073741824,8,14637.8487,1.0955,,
fir,pthreads,generated,1073741824,16,8379.4,7.3259,,
fir,pthreads,generated,1073741824,32,7416.5624,4.246,,
