workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fft,pthreads,8,2097152,0.309,0.25,fft_thread,56.0,bit_reverse,35.9,2.1,fft_pthreads_t8_n2097152_summary.txt
fft,pthreads,8,268435456,35.75,65.29,fft_thread,54.4,bit_reverse,42.7,3.1,fft_pthreads_t8_n268435456_summary.txt
fft,pthreads,8,33554432,3.254,5.87,fft_thread,56.9,bit_reverse,40.9,3.2,fft_pthreads_t8_n33554432_summary.txt
fft,pthreads,8,4194304,0.468,0.58,fft_thread,58.6,bit_reverse,37.9,2.6,fft_pthreads_t8_n4194304_summary.txt
fft,pthreads,8,536870912,94.307,190.52,fft_thread,60.0,bit_reverse,37.2,3.1,fft_pthreads_t8_n536870912_summary.txt
fft,pthreads,8,67108864,6.447,12.06,fft_thread,57.5,bit_reverse,40.2,3.3,fft_pthreads_t8_n67108864_summary.txt
fft,pthreads,8,8388608,0.86,1.33,fft_thread,57.9,bit_reverse,38.3,2.9,fft_pthreads_t8_n8388608_summary.txt
fir,openmp,16,1048576,0.183,0.32,fir_parallel._omp_fn.0,50.0,func@0x1fe10,31.2,4.4,fir_openmp_t16_n1048576_summary.txt
fir,openmp,16,134217728,1.288,15.21,fir_parallel._omp_fn.0,98.9,func@0x1fc70,0.6,20.9,fir_openmp_t16_n134217728_summary.txt
fir,openmp,16,16777216,0.324,2.09,fir_parallel._omp_fn.0,94.2,func@0x1fe10,3.3,12.2,fir_openmp_t16_n16777216_summary.txt
fir,openmp,16,2097152,0.196,0.38,fir_parallel._omp_fn.0,84.2,func@0x1fe10,7.9,5.3,fir_openmp_t16_n2097152_summary.txt
fir,openmp,16,268435456,2.416,30.57,fir_parallel._omp_fn.0,99.8,func@0x1fe10,0.2,22.5,fir_openmp_t16_n268435456_summary.txt
fir,openmp,16,33554432,0.472,4.01,fir_parallel._omp_fn.0,96.0,func@0x1fc70,2.2,15.4,fir_openmp_t16_n33554432_summary.txt
fir,openmp,16,4194304,0.212,0.63,fir_parallel._omp_fn.0,93.6,func@0x1fe10,4.8,6.8,fir_openmp_t16_n4194304_summary.txt
fir,openmp,16,536870912,5.038,62.81,fir_parallel._omp_fn.0,99.7,func@0x1fe10,0.1,21.7,fir_openmp_t16_n536870912_summary.txt
fir,openmp,16,67108864,0.741,7.68,fir_parallel._omp_fn.0,98.2,func@0x1fe10,1.3,18.7,fir_openmp_t16_n67108864_summary.txt
fir,openmp,16,8388608,0.249,1.13,fir_parallel._omp_fn.0,92.0,func@0x1fe10,4.4,9.0,fir_openmp_t16_n8388608_summary.txt
fir,openmp,1,1048576,0.264,0.1,fir_parallel._omp_fn.0,100.0,,,1.3,fir_openmp_t1_n1048576_summary.txt
fir,openmp,1,134217728,13.655,13.28,fir_parallel._omp_fn.0,99.9,_IO_fread,0.1,1.7,fir_openmp_t1_n134217728_summary.txt
fir,openmp,1,16777216,1.857,1.67,fir_parallel._omp_fn.0,99.3,_IO_fread,0.7,1.7,fir_openmp_t1_n16777216_summary.txt
fir,openmp,1,2097152,0.369,0.2,fir_parallel._omp_fn.0,100.0,,,1.4,fir_openmp_t1_n2097152_summary.txt
